Date,us_core_pceinflation_rate,us_inflation_rate,us_interest_rate,us_gdp_yoy,us_unemployment_rate
01/11/2019,1.8,1.5,1.75,0,3.7
01/12/2019,1.8,1.5,1.75,2.2,3.7
01/01/2020,1.9,1.9,1.75,0,3.7
01/02/2020,1.9,1.9,1.75,0,3.7
01/03/2020,1.9,1.9,1.75,2,3.7
01/04/2020,1.9,1.9,1.75,0,3.7
01/05/2020,1.9,1.9,1.75,0,3.7
01/06/2020,1.9,1.9,1.75,2,3.7
01/07/2020,1.9,1.9,1.75,0,3.7
01/08/2020,1.9,1.9,1.75,0,3.7
01/09/2020,1.9,1.9,1.75,2,3.7
01/10/2020,1.9,1.9,1.75,0,3.7
01/11/2020,1.9,1.9,1.75,0,3.7
01/12/2020,1.9,1.9,1.75,2,3.7
01/01/2021,2,2,2,0,3.8
01/02/2021,2,2,2,0,3.8
01/03/2021,2,2,2,1.9,3.8
01/04/2021,2,2,2,0,3.8
01/05/2021,2,2,2,0,3.8
01/06/2021,2,2,2,1.9,3.8
01/07/2021,2,2,2,0,3.8
01/08/2021,2,2,2,0,3.8
01/09/2021,2,2,2,1.9,3.8
01/10/2021,2,2,2,0,3.8
01/11/2021,2,2,2,0,3.8
01/12/2021,2,2,2,1.9,3.8
01/01/2022,2,2,2.25,0,3.9
01/02/2022,2,2,2.25,0,3.9
01/03/2022,2,2,2.25,1.8,3.9
01/04/2022,2,2,2.25,0,3.9
01/05/2022,2,2,2.25,0,3.9
01/06/2022,2,2,2.25,1.8,3.9
01/07/2022,2,2,2.25,0,3.9
01/08/2022,2,2,2.25,0,3.9
01/09/2022,2,2,2.25,1.8,3.9
01/10/2022,2,2,2.25,0,3.9
01/11/2022,2,2,2.25,0,3.9
01/12/2022,2,2,2.25,1.8,3.9